부속표_취업자수 및 피용자수,,,,,
전업환산 기준(상품),,,,,
,,,,,
단위 : 명,,,,,
,,2015년,,2020년,
상품,,취업자수,피용자수,취업자수,피용자수
011,곡물 및 식량작물,"335,615 ","5,062 ","414,896 ","9,638 "
012,채소 및 과실,"624,190 ","53,622 ","617,490 ","31,266 "
019,기타작물,"142,057 ","12,230 ","128,883 ","6,926 "
021,낙농 및 축우,"17,927 ","1,201 ","39,512 ","1,860 "
029,기타 축산,"56,367 ","11,920 ","52,838 ","14,947 "
030,임산물,"11,225 ","7,813 ","10,371 ","7,862 "
040,수산물,"50,529 ","13,699 ","63,578 ","21,786 "
050,농림어업 서비스,"10,249 ","9,348 ","10,773 ","9,846 "
061,석탄,"3,168 ","3,138 ","1,946 ","1,946 "
062,원유 및 천연가스,283 ,283 ,301 ,301 
071,금속광물,205 ,205 ,500 ,500 
072,비금속광물,"7,923 ","6,867 ","9,229 ","8,952 "
081,육류 및 낙농품,"46,287 ","43,811 ","66,143 ","63,188 "
082,수산가공품,"31,792 ","27,567 ","32,457 ","28,350 "
083,정곡 및 제분,"13,828 ","7,760 ","11,905 ","8,139 "
084,제당 및 전분,"2,001 ","1,738 ","2,273 ","2,061 "
085,"떡, 과자 및 면류","59,448 ","37,940 ","64,390 ","46,767 "
086,조미료 및 유지,"28,087 ","19,614 ","28,234 ","20,711 "
087,기타 식료품,"90,910 ","67,313 ","97,718 ","76,156 "
088,사료,"9,422 ","8,395 ","10,759 ","10,306 "
091,주류,"9,705 ","8,260 ","11,292 ","10,122 "
092,비알콜음료 및 얼음,"10,785 ","9,757 ","11,324 ","10,685 "
100,담배,"4,208 ","4,208 ","5,870 ","5,870 "
111,섬유사,"10,957 ","9,000 ","8,064 ","6,385 "
112,섬유직물,"39,963 ","30,612 ","29,366 ","23,790 "
113,섬유표백 및 염색 임가공,"28,811 ","25,677 ","14,740 ","12,104 "
114,직물제품,"41,048 ","33,978 ","52,395 ","40,109 "
115,의복제품,"167,721 ","126,491 ","65,217 ","51,333 "
120,가죽제품,"47,586 ","38,746 ","23,358 ","18,058 "
131,목재,"14,254 ","10,483 ","11,785 ","9,075 "
